trip_date,total_trips,avg_trip_duration,avg_temp,max_temp,min_temp,precipitation,snowfall,avg_daily_wind_speed
2016-01-01,163,633.23,41.0,43.0,34.0,0.0,0.0,12.75
2016-01-02,207,1583.88,36.0,42.0,30.0,0.0,0.0,9.4
2016-01-03,276,830.11,37.0,47.0,28.0,0.0,0.0,10.29
2016-01-04,286,460.36,32.0,35.0,14.0,0.0,0.0,17.22
2016-01-05,273,394.19,19.0,31.0,10.0,0.0,0.0,9.84
2016-01-06,353,468.54,28.0,42.0,15.0,0.0,0.0,5.37
2016-01-07,442,635.14,35.0,46.0,24.0,0.0,0.0,3.36
2016-01-08,422,463.79,38.0,45.0,31.0,0.0,0.0,8.05
2016-01-09,294,5947.39,44.0,48.0,38.0,0.01,0.0,6.71
2016-01-10,206,702.43,53.0,65.0,39.0,1.77,0.0,15.43
2016-01-11,339,1252.35,36.0,39.0,24.0,0.0,0.0,16.33
2016-01-12,367,440.74,31.0,44.0,22.0,0.01,0.0,8.72
2016-01-13,325,454.78,27.0,31.0,22.0,0.0,0.0,18.12
2016-01-14,341,471.76,28.0,39.0,23.0,0.0,0.0,8.05
2016-01-15,427,543.5,38.0,49.0,29.0,0.0,0.0,3.8
2016-01-16,288,1464.11,47.0,55.0,42.0,0.26,0.0,11.63
2016-01-17,164,569.44,38.0,42.0,29.0,0.07,0.7,9.4
2016-01-18,160,1461.11,27.0,30.0,18.0,0.03,0.5,17.22
2016-01-19,269,658.84,21.0,31.0,16.0,0.0,0.0,19.01
2016-01-20,367,433.6,31.0,39.0,27.0,0.0,0.0,9.4
2016-01-21,350,410.75,32.0,38.0,26.0,0.0,0.0,13.42
2016-01-22,293,657.65,26.0,30.0,20.0,0.03,0.3,10.29
2016-01-27,93,561.02,42.0,45.0,32.0,0.01,0.0,9.62
2016-01-28,203,950.35,34.0,42.0,24.0,0.0,0.0,4.03
2016-01-29,224,448.78,36.0,41.0,30.0,0.0,0.0,10.29
2016-01-30,149,509.88,32.0,39.0,25.0,0.0,0.0,8.28
2016-01-31,198,744.44,39.0,54.0,30.0,0.0,0.0,4.92
2016-02-01,355,531.27,45.0,58.0,36.0,0.02,0.0,8.05
2016-02-02,411,436.18,43.0,51.0,32.0,0.0,0.0,3.8
2016-02-03,267,575.34,48.0,58.0,39.0,0.61,0.0,6.49
2016-02-04,378,447.56,54.0,56.0,42.0,0.01,0.0,9.4
2016-02-05,177,607.68,38.0,43.0,31.0,0.48,2.8,12.53
2016-02-06,224,600.29,33.0,41.0,25.0,0.0,0.0,7.16
2016-02-07,233,691.97,37.0,47.0,28.0,0.0,0.0,4.7
2016-02-08,303,454.87,37.0,40.0,29.0,0.02,0.2,12.75
2016-02-09,297,454.09,31.0,36.0,27.0,0.02,0.2,6.04
2016-02-10,305,450.96,35.0,42.0,31.0,0.02,0.3,11.63
2016-02-11,268,429.97,27.0,31.0,19.0,0.0,0.2,19.91
2016-02-12,249,25810.84,21.0,27.0,15.0,0.0,0.0,9.17
2016-02-13,63,442.02,21.0,24.0,7.0,0.0,0.0,19.69
2016-02-14,60,622.0,8.0,18.0,0.0,0.0,0.0,11.63
2016-02-15,91,568.1,18.0,33.0,10.0,0.42,1.5,6.93
2016-02-16,222,859.13,43.0,55.0,33.0,0.99,0.0,10.51
2016-02-17,353,1282.29,39.0,41.0,32.0,0.0,0.0,9.62
2016-02-18,340,583.6,33.0,38.0,27.0,0.0,0.0,13.42
2016-02-19,330,524.04,29.0,38.0,19.0,0.0,0.0,6.93
2016-02-20,342,1039.27,47.0,64.0,38.0,0.0,0.0,11.86
2016-02-21,304,885.81,51.0,56.0,38.0,0.08,0.0,5.59
2016-02-22,437,783.91,45.0,54.0,35.0,0.0,0.0,6.93
2016-02-23,295,438.98,39.0,42.0,34.0,0.27,0.0,12.75
2016-02-24,170,396.82,42.0,63.0,36.0,1.02,0.0,11.41
2016-02-25,372,554.11,54.0,64.0,35.0,0.05,0.0,18.57
2016-02-26,345,475.73,36.0,39.0,28.0,0.0,0.0,17.9
2016-02-27,237,664.47,33.0,43.0,24.0,0.0,0.0,9.62
2016-02-28,417,1435.63,45.0,62.0,35.0,0.0,0.0,12.3
2016-02-29,405,692.77,51.0,62.0,42.0,0.03,0.0,13.65
2016-03-01,441,472.3,45.0,53.0,39.0,0.0,0.0,9.4
2016-03-02,359,557.81,47.0,57.0,29.0,0.12,0.0,19.01
2016-03-03,360,1461.37,32.0,38.0,26.0,0.0,0.0,9.4
2016-03-04,242,646.12,33.0,40.0,29.0,0.12,1.4,11.18
2016-03-05,253,1201.46,35.0,43.0,28.0,0.0,0.0,5.82
2016-03-06,245,1092.66,36.0,47.0,27.0,0.0,0.0,4.92
2016-03-07,442,634.4,43.0,63.0,31.0,0.0,0.0,10.51
2016-03-08,520,619.56,54.0,65.0,45.0,0.0,0.0,3.8
2016-03-09,618,823.94,58.0,82.0,42.0,0.0,0.0,6.93
2016-03-10,622,1021.55,70.0,81.0,59.0,0.0,0.0,8.5
2016-03-11,532,549.05,64.0,69.0,48.0,0.03,0.0,11.41
2016-03-12,441,1904.16,50.0,60.0,38.0,0.0,0.0,8.05
2016-03-13,405,1391.61,56.0,62.0,49.0,0.0,0.0,6.49
2016-03-14,213,661.41,48.0,52.0,41.0,0.52,0.0,14.32
2016-03-15,513,495.56,48.0,57.0,45.0,0.0,0.0,9.4
2016-03-16,525,559.88,54.0,64.0,46.0,0.03,0.0,3.58
2016-03-17,565,658.24,53.0,66.0,44.0,0.0,0.0,7.83
2016-03-18,529,540.82,52.0,62.0,41.0,0.0,0.0,14.76
2016-03-19,361,919.35,43.0,47.0,35.0,0.0,0.0,6.71
2016-03-20,273,654.61,39.0,44.0,33.0,0.07,0.2,10.96
2016-03-21,416,486.25,40.0,53.0,33.0,0.0,0.0,14.32
2016-03-22,498,33443.75,44.0,58.0,34.0,0.0,0.0,12.08
